title,address,city,state,postal_code,price,bedrooms,bathrooms,area,facts and features,real estate provider,url
Condo for sale,"25599 Sun Sail Ct, Harrison Township, MI 48045",Harrison Township,MI,48045,"$176,900",2,2.0,1190,,EXP Realty,https://www.zillow.com/homedetails/25599-Sun-Sail-Ct-Harrison-Township-MI-48045/83570050_zpid/
House for sale,"39195 Chartier St, Harrison Township, MI 48045",Harrison Township,MI,48045,"$339,000",4,3.0,2336,,,https://www.zillow.com/homedetails/39195-Chartier-St-Harrison-Township-MI-48045/83496568_zpid/
Lot / Land for sale,"28001 Hiller St, Harrison Township, MI 48045",Harrison Township,MI,48045,"$215,000",3,2.0,1308,,Anthony Djon Luxury Real Estate,https://www.zillow.com/homedetails/28001-Hiller-St-Harrison-Township-MI-48045/83518973_zpid/
House for sale,"32697 N River Rd, Harrison Township, MI 48045",Harrison Township,MI,48045,"$925,000",4,4.0,3850,,,https://www.zillow.com/homedetails/32697-N-River-Rd-Harrison-Township-MI-48045/83450404_zpid/
House for sale,"37837 Townhall St, Harrison Township, MI 48045",Harrison Township,MI,48045,"$285,000",4,2.0,2250,,,https://www.zillow.com/homedetails/37837-Townhall-St-Harrison-Township-MI-48045/83642534_zpid/
Condo for sale,"25975 S Maritime Cir, Harrison Township, MI 48045",Harrison Township,MI,48045,"$1,400",2,3.0,1220,,,https://www.zillow.com/homedetails/25975-S-Maritime-Cir-Harrison-Township-MI-48045/83628231_zpid/
House for sale,"24704 Orchid St, Harrison Township, MI 48045",Harrison Township,MI,48045,"$159,999",3,1.0,2453,,"Shain Park, REALTORS®",https://www.zillow.com/homedetails/24704-Orchid-St-Harrison-Township-MI-48045/83677366_zpid/
Condo for sale,"38598 Harrison Creek Ct, Harrison Township, MI 48045",Harrison Township,MI,48045,"$159,750",2,3.0,1950,,"New Michigan Realty, LLC",https://www.zillow.com/homedetails/38598-Harrison-Creek-Ct-Harrison-Township-MI-48045/83705647_zpid/
House for sale,"38100 Townhall St, Harrison Township, MI 48045",Harrison Township,MI,48045,"$229,900",4,3.0,1598,,,https://www.zillow.com/homedetails/38100-Townhall-St-Harrison-Township-MI-48045/83676135_zpid/
Condo for sale,"34764 E Lake Dr, Harrison Township, MI 48045",Harrison Township,MI,48045,"$194,900",2,3.0,1080,,,https://www.zillow.com/homedetails/34764-E-Lake-Dr-Harrison-Township-MI-48045/83520048_zpid/
